dataset,experiment,run_name,optimizer,epoch,lr,momentum,weight_decay,train_loss,train_acc,test_loss,test_acc,epoch_seconds
FashionMNIST,main,SGD,SGD,1,0.05,0.9,0.0005,0.5533875745137532,79.79833333333333,0.3488289284467697,87.2,3.401400566101074
FashionMNIST,main,SGD,SGD,2,0.05,0.9,0.0005,0.33618012340068815,87.79,0.319747478556633,88.37,2.9403390884399414
FashionMNIST,main,SGD,SGD,3,0.05,0.9,0.0005,0.2851771934747696,89.83666666666666,0.27254009182453154,90.11,3.0034902095794678
FashionMNIST,main,SGD,SGD,4,0.05,0.9,0.0005,0.2538467678229014,90.74166666666666,0.25785571241378785,90.89,2.7755861282348633
FashionMNIST,main,SGD,SGD,5,0.05,0.9,0.0005,0.22829570638338725,91.72333333333333,0.24346710424423218,91.21000000000001,2.753554582595825
FashionMNIST,main,SGD,SGD,6,0.05,0.9,0.0005,0.20490397833188376,92.57833333333333,0.23144007635116576,91.43,2.7451517581939697
FashionMNIST,main,SGD,SGD,7,0.05,0.9,0.0005,0.18422849519252776,93.29166666666666,0.22658263220787048,92.05,3.0369420051574707
FashionMNIST,main,SGD,SGD,8,0.05,0.9,0.0005,0.16790932644208273,93.97333333333333,0.2216588222026825,92.01,3.0345711708068848
FashionMNIST,main,SGD,SGD,9,0.05,0.9,0.0005,0.15284872142473857,94.53,0.21538803988695146,92.46,3.120654582977295
FashionMNIST,main,SGD,SGD,10,0.05,0.9,0.0005,0.14354251266320547,94.91000000000001,0.21511379405260087,92.54,3.1396355628967285
FashionMNIST,main,Adam,Adam,1,0.001,0.0,0.0,0.5395488656838735,80.52166666666668,0.35681242265701296,86.95,3.377563953399658
FashionMNIST,main,Adam,Adam,2,0.001,0.0,0.0,0.34597489660580955,87.49,0.3160541903495789,88.66000000000001,3.1613476276397705
FashionMNIST,main,Adam,Adam,3,0.001,0.0,0.0,0.2955969465812047,89.32666666666667,0.28448441438674926,89.46,3.0160481929779053
FashionMNIST,main,Adam,Adam,4,0.001,0.0,0.0,0.26333931942780814,90.47500000000001,0.27235860962867736,90.24,2.9954638481140137
FashionMNIST,main,Adam,Adam,5,0.001,0.0,0.0,0.23964224656422933,91.36999999999999,0.2591809157848358,90.49000000000001,3.010509729385376
FashionMNIST,main,Adam,Adam,6,0.001,0.0,0.0,0.2187391408920288,91.97833333333332,0.2426694522380829,91.28,3.006718158721924
FashionMNIST,main,Adam,Adam,7,0.001,0.0,0.0,0.2005206975698471,92.73166666666667,0.23546273577213286,91.5,2.9961373805999756
FashionMNIST,main,Adam,Adam,8,0.001,0.0,0.0,0.18687718789577484,93.20833333333334,0.23191409175395966,91.74,2.9750521183013916
FashionMNIST,main,Adam,Adam,9,0.001,0.0,0.0,0.1767945280234019,93.66499999999999,0.22637499613761902,91.93,2.7534713745117188
FashionMNIST,main,Adam,Adam,10,0.001,0.0,0.0,0.17007367118199665,93.82833333333333,0.22705409269332885,92.01,2.8238539695739746
FashionMNIST,main,AdamW,AdamW,1,0.001,0.0,0.01,0.5388540302912395,80.58333333333333,0.3580061870574951,87.07000000000001,3.203734874725342
FashionMNIST,main,AdamW,AdamW,2,0.001,0.0,0.01,0.34562752064069113,87.54833333333333,0.3126605942726135,88.67,2.926485300064087
FashionMNIST,main,AdamW,AdamW,3,0.001,0.0,0.01,0.2952430521647135,89.42333333333333,0.28134193353652953,89.67,2.9594132900238037
FashionMNIST,main,AdamW,AdamW,4,0.001,0.0,0.01,0.26230812084674837,90.39666666666668,0.2728504601478577,90.24,3.0571296215057373
FashionMNIST,main,AdamW,AdamW,5,0.001,0.0,0.01,0.23910744207700094,91.3,0.2516562223672867,90.78,2.95177960395813
FashionMNIST,main,AdamW,AdamW,6,0.001,0.0,0.01,0.21872253540356953,92.00500000000001,0.24109825887680053,91.19,2.9352431297302246
FashionMNIST,main,AdamW,AdamW,7,0.001,0.0,0.01,0.20043195962905883,92.75333333333333,0.23493751103878022,91.56,2.9470510482788086
FashionMNIST,main,AdamW,AdamW,8,0.001,0.0,0.01,0.18670731394290924,93.23166666666667,0.22913913364410401,91.73,2.946507215499878
FashionMNIST,main,AdamW,AdamW,9,0.001,0.0,0.01,0.1765475928346316,93.65,0.2248465537071228,91.86999999999999,3.01202392578125
FashionMNIST,main,AdamW,AdamW,10,0.001,0.0,0.01,0.1704452169895172,93.88833333333334,0.22537629342079163,91.97999999999999,3.047349452972412
FashionMNIST,ablation,AdamW_no_wd,AdamW,1,0.001,0.0,0.0,0.5395488656838735,80.52166666666668,0.35681242265701296,86.95,3.160632371902466
FashionMNIST,ablation,AdamW_no_wd,AdamW,2,0.001,0.0,0.0,0.34597489660580955,87.49,0.3160541903495789,88.66000000000001,2.9740400314331055
FashionMNIST,ablation,AdamW_no_wd,AdamW,3,0.001,0.0,0.0,0.2955969465812047,89.32666666666667,0.28448441438674926,89.46,3.077594757080078
FashionMNIST,ablation,AdamW_no_wd,AdamW,4,0.001,0.0,0.0,0.26333931942780814,90.47500000000001,0.27235860962867736,90.24,3.0465331077575684
FashionMNIST,ablation,AdamW_no_wd,AdamW,5,0.001,0.0,0.0,0.23964224656422933,91.36999999999999,0.2591809157848358,90.49000000000001,3.002190589904785
FashionMNIST,ablation,AdamW_no_wd,AdamW,6,0.001,0.0,0.0,0.2187391408920288,91.97833333333332,0.2426694522380829,91.28,2.9933829307556152
FashionMNIST,ablation,AdamW_no_wd,AdamW,7,0.001,0.0,0.0,0.2005206975698471,92.73166666666667,0.23546273577213286,91.5,2.992239236831665
FashionMNIST,ablation,AdamW_no_wd,AdamW,8,0.001,0.0,0.0,0.18687718789577484,93.20833333333334,0.23191409175395966,91.74,2.985962390899658
FashionMNIST,ablation,AdamW_no_wd,AdamW,9,0.001,0.0,0.0,0.1767945280234019,93.66499999999999,0.22637499613761902,91.93,2.970404863357544
FashionMNIST,ablation,AdamW_no_wd,AdamW,10,0.001,0.0,0.0,0.17007367118199665,93.82833333333333,0.22705409269332885,92.01,2.981907367706299
